ID,Latitude,Longitude,Region,Elevation,Slope,Aspect,Hillshade,TPI,Roughness,Curvature,Rain_7d,Rain_30d,Rain_year,NDVI,NDMI,NBR,BSI,Distance_to_River,Landcover,Treecover,Cropland,Builtup,Landslide_Score,Prediction_Class,Prediction_Landslide,Ground_Truth,Observation_Time
592_0,-6.892055343551355,106.65033689578951,Sukabumi,513,13,129,149,-2.4827586206896513,14,10.0,56.10992383956909,476.4793257713318,3707.6411746889353,0.54358286,0.17005347,0.38243032,-0.10886725,-9999.0,10,1,0,0,1.2000000000000002,2,Moderate,0,2026-04-19 10:08:07
593_0,-6.905530072813143,106.39674249108259,Sukabumi,209,22,166,164,-9.206896551724128,24,38.0,69.64010620117188,573.347843170166,3869.0979869812727,0.8045618,0.28682494,0.59777266,-0.2592965,-9999.0,10,1,0,0,1.55,3,High,0,2026-04-19 10:08:07
594_0,-7.233235488459947,106.52771685950722,Sukabumi,323,6,10,177,-1.7931034482758719,6,11.0,65.13508605957031,649.1571664810181,3683.382603406906,0.40447235,-0.15916955,0.012357414,0.15451507,-9999.0,10,1,0,0,0.5,1,Low,0,2026-04-19 10:08:07
595_0,-7.280666535461457,106.77349592124233,Sukabumi,370,8,186,183,8.620689655172441,9,-32.0,56.915444135665894,521.075389623642,3394.447501540184,0.7288331,0.31672385,0.6055107,-0.27423933,-9999.0,10,1,0,0,1.25,2,Moderate,0,2026-04-19 10:08:07
596_0,-7.320551734076368,106.89530747376892,Sukabumi,281,12,228,209,2.0,11,-4.0,63.31240653991699,533.8642745018005,3437.741798698902,0.66527236,0.22744825,0.4687771,-0.18094392,-9999.0,10,1,0,0,1.2000000000000002,2,Moderate,0,2026-04-19 10:08:07
597_0,-7.203591084084003,106.41668509039005,Sukabumi,100,15,281,226,-2.827586206896555,16,14.0,62.79343271255493,656.6984395980835,3539.7467606067657,0.7581466,0.24322304,0.5505071,-0.21355,-9999.0,10,1,0,0,1.2000000000000002,2,Moderate,0,2026-04-19 10:08:07
598_0,-7.278241084194342,106.86539357480774,Sukabumi,446,6,350,183,2.931034482758605,6,-7.0,59.5482873916626,498.66877937316895,3411.7212854623795,0.82963026,0.3247649,0.61609215,-0.2886424,-9999.0,10,1,0,0,1.1,2,Moderate,0,2026-04-19 10:08:07
599_0,-6.885048484335222,106.49699447679029,Sukabumi,553,15,287,226,-1.0,16,8.0,70.62878370285034,555.9351100921631,4298.662416703999,0.768452,0.2447657,0.54545915,-0.20444301,-9999.0,10,1,0,0,1.4,2,Moderate,0,2026-04-19 10:08:07
600_0,-7.188229892725566,106.47543490997145,Sukabumi,7,3,315,186,-0.8620689655172411,2,2.0,62.95968818664551,593.3800439834595,3641.5841948390007,0.46017364,0.042263877,0.2460457,-0.0141961,-9999.0,40,0,1,0,0.4,1,Low,0,2026-04-19 10:08:07
601_0,-6.89286382730706,106.69695945903533,Sukabumi,541,8,21,172,-4.413793103448256,8,18.0,56.10992383956909,476.4793257713318,3707.6411746889353,0.78702015,0.114234954,0.4550665,-0.11159444,-9999.0,10,1,0,0,0.85,1,Low,0,2026-04-19 10:08:07
602_0,-7.19308079525981,106.67674736514266,Sukabumi,651,19,107,125,6.9655172413793025,20,-34.0,53.120245933532715,554.0471305847168,3723.160085901618,0.88121134,0.33144253,0.6279302,-0.30919224,-9999.0,30,0,0,0,1.55,3,High,0,2026-04-19 10:08:07
603_0,-6.8405818777713066,106.47220097494863,Sukabumi,975,34,241,255,2.8275862068965125,36,-6.0,68.79333353042603,521.6318693161011,4441.4058811068535,0.8465637,0.31548622,0.61934996,-0.2894452,-9999.0,10,1,0,0,1.7,3,High,0,2026-04-19 10:08:07
604_0,-6.780215090678475,106.64575548784052,Sukabumi,790,13,282,220,-8.620689655172441,14,21.0,60.1659140586853,468.39875173568726,4227.5835372805595,0.7842385,0.28606752,0.5790319,-0.24592395,-9999.0,10,1,0,0,1.55,3,High,0,2026-04-19 10:08:07
605_0,-6.779676101508009,106.74789393564492,Sukabumi,588,5,259,195,-0.48275862068965125,5,4.0,60.12530326843262,419.8372073173523,3941.9410806298256,0.5190597,0.15015097,0.322503,-0.10694501,-9999.0,10,1,0,0,0.6000000000000001,1,Low,0,2026-04-19 10:08:07
606_0,-7.277432600438637,106.80152335810686,Sukabumi,322,5,248,195,-3.3103448275862206,3,15.0,61.54411745071411,533.113347530365,3461.7762438058853,0.6808926,0.28478646,0.5420561,-0.21498601,-9999.0,10,1,0,0,0.9500000000000001,1,Low,0,2026-04-19 10:08:07
607_0,-6.805278087105414,106.91417209473542,Sukabumi,1216,20,293,238,11.034482758620697,21,-41.0,74.98071193695068,533.844090461731,4101.3000514656305,0.7828477,0.31345138,0.6157025,-0.28479034,-9999.0,10,1,0,0,1.75,3,High,0,2026-04-19 10:08:07
